label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21
navid,-0.04923926666378975,0.21581368148326874,-0.8824900388717651,-1.6433345079421997,-0.3420305550098419,-1.5398041009902954,0.8383048176765442,-1.6273226737976074,0.2867826521396637,-1.533613681793213,-0.494145005941391,1.1225322484970093,0.4350254237651825,1.1640522480010986,-0.011523818597197533,2.3514206409454346,-0.04996587336063385,-0.033942364156246185,-0.047738756984472275,0.34248989820480347,0.31702083349227905,1.181706428527832
navid,-0.06342870742082596,0.22916321456432343,-0.8829134106636047,-1.6457490921020508,-0.34255683422088623,-1.5412514209747314,0.8503471612930298,-1.6236695051193237,0.29024776816368103,-1.5320616960525513,-0.502018928527832,1.1076421737670898,0.45396512746810913,1.1460237503051758,-0.012542963027954102,2.358750343322754,-0.06498470902442932,-0.023273857310414314,-0.057891253381967545,0.3567027449607849,0.3317738473415375,1.1677337884902954
navid,-0.06737819314002991,0.2359715849161148,-0.8937970399856567,-1.6524547338485718,-0.3452160656452179,-1.542969822883606,0.8682035803794861,-1.6093409061431885,0.29868388175964355,-1.5253592729568481,-0.5213402509689331,1.0938105583190918,0.47003597021102905,1.1371217966079712,-0.022758441045880318,2.3599939346313477,-0.06855429708957672,-0.019222278147935867,-0.06094533950090408,0.36598914861679077,0.34306392073631287,1.156466007232666
navid,-0.06068994104862213,0.24451543390750885,-0.9035423398017883,-1.657334327697754,-0.348336398601532,-1.5398892164230347,0.8734139800071716,-1.6129058599472046,0.30168911814689636,-1.5226939916610718,-0.5317894816398621,1.080855131149292,0.4686664342880249,1.1357011795043945,-0.024313176050782204,2.356487274169922,-0.061065346002578735,-0.013376179151237011,-0.056608133018016815,0.37745988368988037,0.3425745368003845,1.151179313659668
navid,-0.06285087019205093,0.2531316578388214,-0.9076015949249268,-1.6572626829147339,-0.34913671016693115,-1.5363850593566895,0.881542980670929,-1.619827151298523,0.3033442199230194,-1.5231252908706665,-0.5376250743865967,1.0746921300888062,0.4723830223083496,1.1297805309295654,-0.024573305621743202,2.3523154258728027,-0.06360205262899399,-0.004446308594197035,-0.0581209622323513,0.38553857803344727,0.3462425768375397,1.1455919742584229
navid,-0.06274060904979706,0.24900740385055542,-0.9074261784553528,-1.6576348543167114,-0.347885400056839,-1.5342382192611694,0.8870101571083069,-1.6168676614761353,0.30687686800956726,-1.5201016664505005,-0.5441396236419678,1.0733673572540283,0.47309401631355286,1.1316924095153809,-0.030008116737008095,2.3530282974243164,-0.06309974193572998,-0.008783867582678795,-0.05845770984888077,0.3831115961074829,0.3467763662338257,1.1474239826202393
navid,-0.061461031436920166,0.2300877571105957,-0.9042319059371948,-1.6508128643035889,-0.3459809422492981,-1.532536506652832,0.8912222385406494,-1.6099812984466553,0.31304246187210083,-1.5189778804779053,-0.539595365524292,1.0873452425003052,0.46364733576774597,1.144659399986267,-0.03723018616437912,2.3545713424682617,-0.06123971939086914,-0.028033677488565445,-0.05746632441878319,0.36682599782943726,0.33929646015167236,1.1568548679351807
navid,-0.04835861921310425,0.2092546969652176,-0.8929381966590881,-1.6469157934188843,-0.3491498529911041,-1.5373321771621704,0.8336586356163025,-1.6328266859054565,0.2787294089794159,-1.5335649251937866,-0.4600333273410797,1.1662840843200684,0.42744460701942444,1.1642920970916748,-0.006614740937948227,2.333369016647339,-0.05032384395599365,-0.043173812329769135,-0.04497576504945755,0.3403521776199341,0.31255796551704407,1.1802524328231812
navid,-0.046584829688072205,0.21460936963558197,-0.8799120187759399,-1.6459344625473022,-0.34244000911712646,-1.5441120862960815,0.8284686207771301,-1.6264607906341553,0.28184476494789124,-1.53683602809906,-0.4740970730781555,1.14466392993927,0.4268162250518799,1.1593722105026245,-0.012408742681145668,2.3498175144195557,-0.047605209052562714,-0.037712957710027695,-0.04489775747060776,0.3437459170818329,0.31081047654151917,1.1788547039031982
navid,-0.05432712659239769,0.2344023734331131,-0.884377121925354,-1.6527155637741089,-0.34217774868011475,-1.5458568334579468,0.8491256833076477,-1.6193116903305054,0.29483023285865784,-1.5333129167556763,-0.5070644021034241,1.108568787574768,0.4476478099822998,1.1477420330047607,-0.023728856816887856,2.3522207736968994,-0.054457277059555054,-0.02035423181951046,-0.0520927831530571,0.3632577955722809,0.3266183137893677,1.1653646230697632
navid,-0.058127712458372116,0.2269814908504486,-0.890471339225769,-1.6575350761413574,-0.33857449889183044,-1.5375808477401733,0.8825839757919312,-1.6073291301727295,0.3135708272457123,-1.5195729732513428,-0.5351399779319763,1.0880084037780762,0.45285892486572266,1.1551233530044556,-0.04168841242790222,2.3524532318115234,-0.05683901533484459,-0.030378229916095734,-0.05545894056558609,0.36139723658561707,0.3272801637649536,1.168439269065857
navid,-0.0594533234834671,0.23093725740909576,-0.8997772336006165,-1.656811237335205,-0.34270763397216797,-1.537349820137024,0.8919974565505981,-1.605621099472046,0.31506434082984924,-1.5203266143798828,-0.5382554531097412,1.0883339643478394,0.4580696225166321,1.1510789394378662,-0.04260635748505592,2.346238851547241,-0.05852818861603737,-0.02680489607155323,-0.05644175782799721,0.3663320541381836,0.33263543248176575,1.1639972925186157
navid,-0.05862482264637947,0.23734496533870697,-0.9076006412506104,-1.656151294708252,-0.34754472970962524,-1.5372552871704102,0.8914679884910583,-1.6075276136398315,0.31246787309646606,-1.5212949514389038,-0.5347394943237305,1.0852121114730835,0.4599943161010742,1.1422778367996216,-0.03696044161915779,2.349790334701538,-0.05828308314085007,-0.020979750901460648,-0.05555068701505661,0.3720253109931946,0.33537790179252625,1.1565475463867188
